District code,ABS code,LGA name,2017 (ABS),2021 (extrapolated),CAGR (13-17),mean,median,q90,q25,q75,amin,amax,len
188,14200,Inverell,40912,47836.28877,0.03986435633,375553.7098765432,260000.0,539700.0,190000.0,360000.0,1000.0,13102000.0,324
061,14300,Junee,45940,52517.88185,0.0340202709,285653.0612244898,267500.0,444999.9999999999,198500.0,350000.0,35000.0,665000.0,98
157,14350,Kempsey,36483,40262.84981,0.02495191679,418173.8837209303,371000.0,649900.0,278250.0,516875.0,8400.0,3035500.0,602
098,14400,Kiama,46340,51572.97661,0.02710901756,1046272.8249534452,890000.0,1614000.0000000002,740000.0,1145000.0,24750.0,5500000.0,537
084,14500,Ku-ring-gai,59116,64357.95761,0.02146691192,1986878.852577759,1750000.0,3350000.0,1050000.0,2459500.0,20000.0,15000000.0,2347
158,14550,Kyogle,32358,37058.12147,0.03448794098,426608.2038834951,340000.0,645000.0,236250.0,470000.0,15000.0,5497000.0,206
244,14600,Lachlan,40959,44690.57996,0.02203710098,216967.94871794872,182000.0,425600.0,115000.0,280000.0,1000.0,600000.0,78
004,14650,Lake Macquarie,47661,50944.64825,0.0167960594,737840.9930004666,595000.0,957635.0,470000.0,750000.0,755.0,31117000.0,4286
085,14700,Lane Cove,68030,74892.88789,0.02431852388,1759796.5725413826,1145000.0,3086799.9999999995,760000.0,2087500.0,22000.0,17000000.0,1027
065,14750,Leeton,45470,51963.42867,0.03393493868,276750.2699115044,255500.0,465000.0,176000.0,371875.0,10000.0,675000.0,226
159,14850,Lismore,40692,44947.98621,0.02518041484,480997.2595155709,425000.0,760000.0,335000.0,570000.0,5000.0,3125000.0,867
222,14870,Lithgow,45127,48558.49418,0.01849097946,438224.25907990313,365000.0,724400.0,273000.0,502500.0,5000.0,5000000.0,413
223,14900,Liverpool,49398,53493.56375,0.02011243472,797421.1179608773,649900.0,1013700.0000000002,500000.0,820000.0,6400.0,11070000.0,3374
301,14920,Liverpool Plains,41556,49933.52811,0.04698299693,257371.5976331361,220000.0,422000.0000000002,150000.0,310000.0,8500.0,1300000.0,169
066,14950,Lockhart,45096,50012.27691,0.0262062405,229756.41025641025,185000.0,473000.0000000002,123500.0,302000.0,7000.0,649000.0,39
005,15050,Maitland,50863,53882.17293,0.01452039546,526337.906626506,482000.0,759900.0000000001,375000.0,604250.0,100.0,28500000.0,1992
620,15270,Mid-Western Regional,42931,47165.1038,0.0237936875,476510.5054200542,429750.0,744050.0000000006,320500.0,551500.0,30000.0,2502000.0,738
268,15240,Mid-Coast,36360,40056.03999,0.02449780998,495192.1243781095,450000.0,780000.0,330000.0,600000.0,1170.0,4025000.0,2613
192,15300,Moree Plains,49774,55660.5499,0.02833883533,281073.8700564972,190000.0,469700.0000000001,96000.0,350000.0,1000.0,9700000.0,177
087,15350,Mosman,73822,80859.49944,0.02302514968,2766182.0934150075,1795000.0,6340000.000000004,920000.0,3580000.0,22000.0,22000000.0,653
269,15520,Murray River,40117,44417.34576,0.02578427844,477050.4082397004,380000.0,742480.0,231750.0,543750.0,10000.0,18000000.0,267
270,15560,Murrumbidgee,42220,46563.09493,0.02478061717,233504.9019607843,185000.0,290000.0,116000.0,241000.0,45000.0,2700000.0,51
007,15650,Muswellbrook,51411,52144.31268,0.003547016114,334350.2493765586,310000.0,540000.0,240000.0,400000.0,16000.0,1095000.0,401
164,15700,Nambucca,34783,39315.53924,0.03109646987,468932.2192771085,430000.0,740000.0,325000.0,585000.0,200.0,1850000.0,415
247,15750,Narrabri,46425,51934.47289,0.02843288217,285751.8624338624,275000.0,505000.0,162000.0,390000.0,9000.0,690000.0,189
070,15800,Narrandera,42659,47607.3324,0.02781699417,193231.4636363636,169000.0,326750.0000000002,120000.0,246250.0,13000.0,675000.0,110
251,15850,Narromine,43682,51149.09862,0.04024076171,282971.05263157893,237500.0,462000.0000000002,161250.0,335000.0,3000.0,2000000.0,114
008,15900,Newcastle,50518,53666.74358,0.01523077405,750583.2055857254,620000.0,1260800.0000000002,485000.0,820000.0,1099.0,7250000.0,3867
088,15950,North Sydney,73016,80468.14164,0.02459323375,1809014.6255458517,1251000.0,2950000.0,881125.0,1950000.0,17647.0,21000000.0,1832
271,15990,Northern Beaches,55499,62582.82709,0.03048697067,1787254.2038140644,1550000.0,3000000.0,950000.0,2130000.0,100.0,24500000.0,5034
123,16100,Oberon,45865,53274.53338,0.03814869929,515324.4897959184,410000.0,904499.9999999998,319250.0,570000.0,29000.0,2600000.0,98
124,16150,Orange,49581,52975.50989,0.01669331019,514198.1638576779,459000.0,755000.0,360000.0,600000.0,3000.0,12705000.0,1068
116,16200,Parkes,43580,48729.09301,0.02831287994,316489.25925925927,291250.0,500000.0,210000.0,400000.0,13000.0,1400000.0,270
224,16350,Penrith,53200,58485.70012,0.02396359209,771214.7902173913,640000.0,928599.6,516000.0,745000.0,5000.0,57750000.0,3680
656,16380,Port Macquarie-Hastings,39741,44325.08436,0.02766767223,599558.1971014492,540000.0,895500.0000000007,417250.0,670000.0,2750.0,6150000.0,2070
010,16400,Port Stephens,43723,46784.31621,0.01706236317,625198.2494266055,560000.0,910000.0,412750.0,733650.0,1000.0,4775000.0,1744
272,16490,Queanbeyan-Palerang Regional,61217,66299.6442,0.02014002828,646015.2907431552,600000.0,1047000.0000000003,395000.0,775000.0,1700.0,3200000.0,1534
207,16550,Randwick,58787,65859.49935,0.0288078794,1823738.3952445043,1440000.0,3126000.0,905000.0,2088000.0,830.0,15231171.0,2229
151,16610,Richmond Valley,39897,44790.66377,0.0293470268,453595.1982182628,350000.0,675000.0,280000.0,515500.0,10000.0,16000000.0,449
090,16700,Ryde,51386,55266.46147,0.01836675138,849115.6698129546,700000.0,1100000.0,651500.0,925000.0,5750.0,17350000.0,23096
100,16900,Shellharbour,48002,52577.11361,0.02302053643,666543.1447910536,622500.0,931000.0000000002,529000.0,752500.0,690.0,3500000.0,1699
012,17000,Singleton,52212,50978.83018,-0.005957657715,571879.010830325,445000.0,908500.0,350000.0,650000.0,90000.0,3721275.0,554
273,17040,Snowy Monaro Regional,43320,48308.03923,0.02762045545,449569.6534839925,370000.0,760000.0,265000.0,545000.0,11100.0,4300000.0,531
274,17080,Snowy Valleys,44698,49679.51074,0.02676795187,310086.8456790124,276500.0,490000.0,199125.0,384500.0,15000.0,2000000.0,324
143,17100,Strathfield,46344,49008.9069,0.01407569808,1025185.8903985508,700000.0,2183200.000000001,615000.0,950000.0,109000.0,6305000.0,1104
144,17150,Sutherland Shire,55840,62240.12136,0.02749863902,1158406.8221203915,975000.0,1800000.0,720000.0,1336000.0,975.0,11100000.0,4801
666,17310,Tamworth Regional,45606,51217.88855,0.02943735167,388667.84129554656,345000.0,650000.0,241250.0,475000.0,500.0,2200000.0,1235
538,17350,Temora,40527,43839.25608,0.01983445358,322226.0317460318,285000.0,555500.0,200000.0,365000.0,8920.0,1687625.0,126
250,17400,Tenterfield,29255,31752.43099,0.02069084543,295306.5806451613,250000.0,484000.0,178500.0,370000.0,8300.0,1650000.0,155
171,17550,Tweed,39783,43509.10185,0.02263498737,701001.8325678497,619000.0,1150000.0,460000.0,820000.0,610.0,4450000.0,2395
511,17620,Upper Hunter Shire,45918,49704.44894,0.0200068184,372948.62974683545,342000.0,597500.0,240000.0,475000.0,49167.0,3105000.0,316
526,17640,Upper Lachlan Shire,43023,54195.07317,0.05941173462,575712.0555555555,447500.0,978000.0,314375.0,600000.0,30000.0,3975000.0,162
199,17650,Uralla,40591,47689.63736,0.04111467309,409191.44329896907,370000.0,682000.0000000001,250000.0,500000.0,95000.0,2775000.0,97
575,17750,Wagga Wagga,49315,54999.53017,0.02764942962,416885.7036569988,367500.0,654500.0,265000.0,483500.0,14750.0,3550000.0,1586
252,17850,Walcha,38577,46569.81252,0.04819964827,381739.5833333333,285000.0,625000.0,197500.0,432500.0,90000.0,2200000.0,48
253,17900,Walgett,40926,45783.33359,0.02843542537,91636.41791044777,60000.0,229599.99999999997,28000.0,133750.0,1000.0,320000.0,67
254,17950,Warren,47048,54513.34328,0.03750551249,220344.8275862069,140000.0,454000.0,100000.0,240000.0,30000.0,1085000.0,29
537,18020,Warrumbungle Shire,38733,49212.57304,0.06169246258,219816.091954023,160000.0,346000.0000000005,105000.0,250000.0,10000.0,2060000.0,174
209,18050,Waverley,60566,67903.96986,0.02900282776,2150026.707026349,1550000.0,4100000.0,1020893.75,2700000.0,100.0,18250000.0,1594
043,18100,Weddin,38935,43182.85786,0.02622549637,300520.9523809524,231000.0,459000.0,162500.0,335000.0,40000.0,3203083.0,63
255,18200,Wentworth,41887,49309.22289,0.04162699194,335946.1370967742,251000.0,643500.7000000001,160000.0,435000.0,25000.0,1475000.0,124
092,18250,Willoughby,58964,63324.22585,0.01799521797,1944357.7202859696,1656000.0,3355000.0,998000.0,2600000.0,125000.0,9500000.0,1119
102,18350,Wingecarribee,43171,48036.88956,0.02705970916,1086515.5615658362,815000.0,2000000.0,612000.0,1280000.0,630.0,9350000.0,1405
226,18400,Wollondilly,53109,59498.0779,0.02880650832,814608.8809055118,690000.0,1342500.0,523750.0,960000.0,7500.0,7250000.0,1016
103,18450,Wollongong,48784,53055.97146,0.02120801795,756867.9641893549,660000.0,1150000.0,530000.0,841000.0,6300.0,38500000.0,4077
210,18500,Woollahra,75084,85083.11283,0.03174884736,3367316.465116279,2375000.0,6687500.0,1313750.0,4202500.0,2500.0,51000000.0,1376
528,18710,Yass Valley,56005,61770.05839,0.024796899,716055.463576159,632500.0,1173500.0000000005,447750.0,906750.0,2000.0,3700000.0,302
